method,value,seed,n_slots,mean,p95,p99,csr,completion,load_cv,gini
threshold,0.0,0,200,27.375069850975542,59.956428898294874,81.91865839811521,0.31204819277108437,0.9995983935742971,0.23313670384308063,0.12298423317078688
threshold,0.0,1,200,26.77378407852884,62.538855718655164,80.7718504465878,0.33470903838217086,1.0,0.16338639677087194,0.08891769700704777
threshold,0.0,2,200,28.961714062795103,63.60135702845789,85.67437912718684,0.31152384972562264,0.9995778809624314,0.12791914869676263,0.07241273342203636
threshold,0.0,3,200,28.856925585438525,61.95062717190098,80.95640475201195,0.30460251046025105,0.999163179916318,0.12995700372549943,0.07146802598009683
threshold,0.0,4,200,27.234380782101688,60.87773011621992,82.54749294794935,0.3083771752326993,0.9995953055443141,0.17308533839939988,0.08660994387302878
threshold,0.0,5,200,28.05942660956919,62.139539878449156,82.10123890688097,0.31693989071038253,0.9983186212694409,0.1444208495023809,0.07700473490933546
threshold,0.0,6,200,26.39261110360956,60.03385367381725,79.90064694844206,0.3057298201589293,0.999163529903806,0.09930559486073313,0.0549777110370846
threshold,0.0,7,200,25.7132692946631,57.16221466524495,79.96010756303127,0.31563296516567546,0.9987255734919286,0.2069326455825889,0.11171038761127039
threshold,0.0,8,200,24.841112719173637,53.21420644299119,77.72462060257227,0.3347315436241611,0.9995805369127517,0.10056807672486712,0.055692142175243875
threshold,0.0,9,200,24.776464462694886,61.259944479756285,79.35787228975182,0.31446808510638297,1.0,0.15481098842094024,0.08045404882324236
threshold,0.0,10,200,26.960434043015976,59.85701657159782,81.87127753659064,0.3240152477763659,0.9995764506565015,0.18966065593471138,0.10536323524625435
threshold,0.0,11,200,29.196080580972705,60.65294220103876,82.09598153110869,0.31180968564146133,0.9987255734919286,0.13816368637175327,0.07791900786229577
threshold,0.0,12,200,28.850321084393077,61.86031871447059,83.62102664023085,0.3087866108786611,0.999581589958159,0.12406859934693949,0.06835604733891265
threshold,0.0,13,200,26.840042567098795,59.39479687901158,83.72199590453101,0.3044210526315789,1.0,0.20309303935127365,0.10715925616823374
threshold,0.0,14,200,25.30671168393218,59.15721322006417,82.07763248684076,0.3075664621676892,0.9995910020449897,0.08843685652132335,0.047037099579147146
threshold,0.0,15,200,27.587910355882237,61.137932731538484,81.54785135288942,0.33927056827820185,0.9995759117896522,0.17676098441747112,0.09524013471794279
threshold,0.0,16,200,27.42248188285774,58.897264666137424,81.08393898415234,0.330965315503552,0.9991642290012537,0.2096557044204559,0.1139372460705872
threshold,0.0,17,200,27.008350010166794,58.88663835833194,83.53051138481844,0.30564784053156147,0.9991694352159468,0.1286713407731667,0.0720986559534822
threshold,0.0,18,200,27.476167985379615,64.85182350745738,82.28875837318196,0.34375,0.999198717948718,0.16210398874918244,0.08542396425087673
threshold,0.0,19,200,27.325188212453785,60.58860315813695,83.21520080182826,0.3114485022568732,0.9995896594173164,0.18560750173381751,0.10021650978499119
threshold,0.0,20,200,27.748147657788408,58.506173249321876,78.35934853651857,0.31570038087177316,0.9991536182818451,0.14053433225373785,0.07710194305650964
threshold,0.0,21,200,26.44200489523716,61.16383264262996,82.39300402932065,0.3302951388888889,0.9995659722222222,0.16976287858188605,0.08291962966313937
threshold,0.0,22,200,26.73605598389914,59.337050181692035,81.19551618700244,0.3179381443298969,0.9991752577319588,0.2106721623119213,0.11675797537654442
threshold,0.0,23,200,28.27257368298567,61.403414057097876,82.71834714029183,0.3197086199919061,0.9991906110886281,0.1694439371282864,0.08800595164028224
threshold,0.0,24,200,27.176104422520833,61.52673363008793,83.41321334255377,0.30668910391249476,0.9991586032814472,0.09371920394410309,0.051542753850954304
threshold,0.0,25,200,28.93560444731482,60.0048603901325,82.67942061846584,0.32495667244367415,0.9978336221837089,0.21548589816775623,0.12036603567644222
threshold,0.0,26,200,27.582808527586185,62.74123422905875,81.05462968941136,0.3319327731092437,1.0,0.15774088493660257,0.08123867684006214
