method,value,seed,n_slots,mean,p95,p99,csr,completion,load_cv,gini
threshold,5,0,200,46.293279423039536,83.86732623066099,94.18599952929058,0.4045407636738906,0.8204334365325078,0.7410841244107301,0.4120688129942814
threshold,5,1,200,45.68233535204156,81.59547825310702,91.61841294086476,0.4253658536585366,0.8204878048780487,0.6450080400670399,0.3613728807892488
threshold,5,2,200,47.68621113216047,82.27752540258705,92.7425771591383,0.4230377166156983,0.8103975535168195,0.6826272957708918,0.3832091545209042
threshold,5,3,200,47.27308484658842,84.00161793179177,96.71424791446545,0.4136504653567735,0.7931747673216132,0.7683234898881975,0.4143504550605368
threshold,5,4,200,44.79105113193663,81.53326905706291,89.69132299483424,0.4073006724303554,0.8203650336215178,0.6366908447480868,0.3598198428564153
threshold,5,5,200,46.805442696434426,83.33138059353065,90.75224593675136,0.4362348178137651,0.8026315789473685,0.5094267847102074,0.2673844065588253
threshold,5,6,200,46.62864759854109,81.30165856930176,92.73889646524918,0.4264560710760118,0.805528134254689,0.6638704706046079,0.36841380330502
threshold,5,7,200,45.39954570817076,81.27526941362487,90.5406570371002,0.4090489381348107,0.8319482917820868,0.4954575752372214,0.2766980330439905
threshold,5,8,200,44.09407203593219,79.48695334019924,92.30071400911184,0.4231499051233396,0.8387096774193549,0.6041711072532774,0.3357326372525309
threshold,5,9,200,45.22682613844324,79.5841389917254,91.05004197591748,0.4281314168377823,0.8305954825462012,0.722429598788408,0.4012424162124369
threshold,5,10,200,46.76914639432594,83.29121613597545,91.1884966847756,0.4117647058823529,0.8107843137254902,0.6947898675156997,0.3898492499839955
threshold,5,11,200,47.04122997291708,85.00962517611009,94.6291872711492,0.4041708043694141,0.8063555114200596,0.6596580220253857,0.3671106050323733
threshold,5,12,200,48.28079124367193,83.45125235800822,92.3487962034946,0.4186046511627907,0.7917547568710359,0.7577804144172477,0.4296391282540365
threshold,5,13,200,44.85928443604266,83.83503094791816,91.80745904914168,0.4134808853118712,0.8350100603621731,0.5846924108952223,0.316802626871609
threshold,5,14,200,43.0429330953327,78.42160431635631,87.01654985704222,0.3907815631262525,0.843687374749499,0.6786389978618979,0.3837035996230852
threshold,5,15,200,46.865460005280944,84.7214192997277,91.35572565594246,0.4090462143559488,0.8220255653883972,0.5736791425776284,0.3247542576511583
threshold,5,16,200,47.67584182409029,82.99822922451114,91.17302655903124,0.412206572769953,0.8253521126760563,0.6439450580169749,0.3662176750276661
threshold,5,17,200,45.97271137591849,82.64142342652502,89.33861879051715,0.4140127388535032,0.832271762208068,0.6976992050942793,0.3811458514847169
threshold,5,18,200,46.54543275056258,82.69461559284245,92.35426163866654,0.4159544159544159,0.8129154795821463,0.6488651653196015,0.3552502275502447
threshold,5,19,200,45.32189447112873,82.84716959491959,93.70824490883469,0.3864783047426841,0.8244197780020182,0.6695828481924563,0.3724930606419467
threshold,5,20,200,47.90922097455224,84.33797461957916,90.55304220327686,0.4330628803245436,0.8052738336713996,0.5948919766046689,0.3346552563752021
threshold,5,21,200,44.64996803313871,80.94313802627265,91.02723735734764,0.4202020202020202,0.8080808080808081,0.6429405135591667,0.3610648020989297
threshold,5,22,200,46.84640399176922,83.00458448681199,92.69095018831408,0.4019900497512438,0.8119402985074626,0.7751625289385827,0.4297701382198651
threshold,5,23,200,46.00736090908335,83.34780974284743,92.76672932996038,0.3806706114398422,0.8274161735700197,0.7074945184950229,0.39415779202796
threshold,5,24,200,46.458323385923016,82.41920085530343,92.3779138463655,0.4218590398365679,0.8202247191011236,0.6704495266156267,0.3779162180188804
threshold,5,25,200,49.626379524252485,85.89595136034033,94.41931641991546,0.439879759519038,0.7755511022044088,0.7057593574599881,0.4000244180202466
threshold,5,26,200,46.055192353334434,81.47837095913341,90.10137271047286,0.4122722914669223,0.8149568552253116,0.6842996094219691,0.3783830421176221
threshold,5,27,200,46.47713035384155,83.68474162450434,93.38463390742,0.3946322067594433,0.820079522862823,0.7122426864268084,0.3977873432893803
threshold,5,28,200,46.00648299759568,83.68939629353211,93.07405565058563,0.4118268215417107,0.8257655755015839,0.6180079352545997,0.3417518197540635
threshold,5,29,200,47.80765585282702,85.15171431564829,97.87758999930963,0.4052224371373307,0.793036750483559,0.6418605289932882,0.3470010168033547
threshold,5,30,200,46.88238801094997,82.59275731750915,92.54013901447452,0.3956692913385827,0.8346456692913385,0.7536997904401872,0.4135600831175368
threshold,5,31,200,48.56887681715444,86.80117482107717,96.161330880577,0.4344262295081967,0.7930327868852459,0.6920817455276186,0.3607628026901107
threshold,5,32,200,46.66859274397292,80.43361626741336,91.90073267558896,0.435515873015873,0.8035714285714286,0.7609063322019797,0.4139360111317521
threshold,5,33,200,47.90077207531344,82.24294433405986,89.74421716720609,0.4669950738916256,0.7931034482758621,0.5782025340564567,0.3302977960046011
threshold,5,34,200,48.04740906357403,83.84393789102911,94.2378271106358,0.4309109518935516,0.8055271238485159,0.8953735488644315,0.4725271386068556
threshold,5,35,200,46.31824579031498,82.64074057676734,94.94383012685414,0.4310171198388721,0.796576032225579,0.6278079669565342,0.3520787851575652
threshold,5,36,200,45.02301147410339,78.96415906599934,88.07946227265663,0.4021526418786693,0.8326810176125244,0.6908612432072542,0.3829307069367473
threshold,5,37,200,46.1869034156946,81.79477979734115,90.2659234507282,0.4278296988577362,0.8161993769470405,0.6973732220338227,0.3856191387431871
threshold,5,38,200,45.71872976050285,80.99992739411684,91.54483005019526,0.4536771728748806,0.8127984718242598,0.620900368483372,0.3516319400713552
threshold,5,39,200,47.16123157145571,82.00112728377461,91.80517013825543,0.4342359767891682,0.7978723404255319,0.6068308337707858,0.3396727031998401
threshold,5,40,200,44.0921664065104,81.93550269784298,91.72176735716076,0.4215591915303176,0.8373435996150145,0.6072311144519954,0.341345468677968
threshold,5,41,200,45.82637721272546,80.1127566572098,86.71231217748972,0.4208955223880597,0.8388059701492537,0.7451404960861803,0.4073265321138548
threshold,5,42,200,43.98095991607042,79.7706780630991,88.52577509805973,0.406054279749478,0.848643006263048,0.6777118013367178,0.3817567427471097
threshold,5,43,200,47.94233083981809,86.23692044456644,95.8754814595785,0.4216101694915254,0.798728813559322,0.8330187701996563,0.4486822011818296
threshold,5,44,200,47.820778944403344,83.98332087663033,94.2344463318741,0.4009852216748768,0.8157635467980295,0.747864917007309,0.4189564797838798
threshold,5,45,200,44.89227494691802,80.68423532847534,88.2897816882476,0.4253807106598984,0.8395939086294416,0.6824400966853792,0.3864991646846847
threshold,5,46,200,46.14138588448873,83.35077638036667,92.2161399343391,0.4196787148594377,0.7971887550200804,0.7644429312740375,0.4175356980662552
threshold,5,47,200,46.10452116210221,82.57740656228592,91.090401575,0.4066037735849057,0.8528301886792453,0.5720029635311812,0.3199002265837436
threshold,5,48,200,44.34244438643557,80.98060717838,89.19758993021225,0.4117063492063492,0.8293650793650794,0.6806589834921086,0.3846083341497989
threshold,5,49,200,45.788334183181945,81.7075249239274,89.4725550705729,0.3984600577478344,0.8334937439846006,0.6076521872166679,0.3440010899272228
threshold,5,50,200,44.20926744180771,82.5814086804921,92.50487508529132,0.402,0.835,0.5692784388037557,0.3180797425831935
threshold,5,51,200,44.4591024945729,81.06375471998118,88.96182857165644,0.4005964214711729,0.8101391650099403,0.712923956634081,0.400693330137682
threshold,5,52,200,45.8598095011452,82.03318746917226,92.73686896826676,0.4107843137254902,0.8186274509803921,0.6007809301686602,0.33249368550309
threshold,5,53,200,46.78698976130858,83.34842067308043,90.86409675549504,0.4078549848942598,0.8147029204431017,0.8566184996395324,0.4591789091755482
threshold,5,54,200,46.02074314874393,83.00912797258142,93.91328270094296,0.3926380368098159,0.8251533742331288,0.6621137947044705,0.3741623652156832
threshold,5,55,200,46.29341525641944,83.21435596973386,90.86906204629229,0.4552763819095477,0.8190954773869347,0.641863501887601,0.3639234766730138
threshold,5,56,200,48.54702740085804,85.12830305011309,96.14774737655196,0.4556840077071291,0.791907514450867,0.7619919003030438,0.3853589628728593
threshold,5,57,200,45.67304327121288,79.3347519497017,92.3983142876044,0.41699604743083,0.8399209486166008,0.5638548659089132,0.3206427486651713
threshold,5,58,200,46.00105306283056,83.26945892561326,94.06603867190448,0.3978300180831826,0.8110307414104883,0.562092400528832,0.3165674754009054
threshold,5,59,200,47.11448968071279,84.48694103222162,94.13107066907804,0.4340931615460852,0.8097125867195243,0.5671210768262106,0.3178939174788986
threshold,5,60,200,47.76883140232002,84.70764762300234,91.65898154989364,0.4215384615384615,0.8112820512820513,0.91339435249571,0.4934747792410205
threshold,5,61,200,45.21556580746708,78.78488569450886,89.10355151080233,0.4303534303534304,0.8295218295218295,0.7452417372549497,0.4188923008864519
threshold,5,62,200,43.32037154862471,78.42816325401338,89.14205750796954,0.400593471810089,0.8367952522255193,0.621552561386166,0.3483556155708559
threshold,5,63,200,45.89855853498074,83.99689528474362,91.68071330985404,0.4186046511627907,0.8361522198731501,0.6284524374244316,0.3520805737512592
threshold,5,64,200,46.26829430286197,82.7356636346148,93.05087129583862,0.4011976047904191,0.8313373253493014,0.7042363096273028,0.3925526846559682
threshold,5,65,200,46.31885248415474,83.87734693971252,96.3279920731504,0.4027105517909003,0.8170377541142304,0.6872734228316004,0.3640745456665397
